Altium Designer Pick and Place Locations
C:\Onedrive\04_Development\01_Project\Active\00_Auxiliary_Bd\Proj-Auxiliary_Boards\02_FTDI_JTAG_Prog_SOM_Bd\Rev_A\02_HW\FTDI_JTAG_Prog_SOM_Bd\Project Outputs for FTDI_JTAG_Prog_SOM_Bd\Pick Place\Pick Place for FTDI_JTAG_Prog_SOM_Bd.csv

========================================================================================================================
File Design Information:

Date:       08-04-24
Time:       21:16
Revision:   db391a7348f1d86f77805720e9b8844f910095c0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"X300","S2D12.000000B20F30T(12MHz)","TopLayer","OSC_SMD_2.5x2.0_(SCTF)","44.5000","8.3000","180","3.3V~3.3V -40﹎~+85﹎ 20mA ▽20ppm 12MHz SMD2520-4P  Oscillators ROHS"
"U301","93LC56B-I/SN","TopLayer","IC_SOIC-8_(4.90x3.90mm)","74.0000","6.0000","90","EEPROM Memory IC 2Kbit Microwire 2 MHz 8-SOIC"
"U300","FT2232HL-REEL","TopLayer","IC_LQFP-64-0.5mm","31.2500","11.2500","180","USB Bridge, USB to UART,FIFO USB 2.0 UART Interface 64-LQFP (10x10)"
"R320","22R/1608","TopLayer","RES_1608_(0603_inch)","39.6700","7.5000","180","RES_22R/1608/0.1W"
"R319","12K/1608","TopLayer","RES_1608_(0603_inch)","70.0000","4.0000","90","RES_12K/1608/0.1W"
"R318","12K/1608","TopLayer","RES_1608_(0603_inch)","72.2500","1.2500","180","RES_12K/1608/0.1W"
"R317","680R/2012","TopLayer","RES_2012_(0805_inch)","77.7500","19.7500","90","RES_680R/2012/0.125W"
"R316","2.2K/1608","TopLayer","RES_1608_(0603_inch)","75.3500","1.2500","180","RES_2.2K/1608/0.1W"
"R315","12K/1608","TopLayer","RES_1608_(0603_inch)","78.0000","4.2500","90","RES_12K/1608/0.1W"
"R314","1M/1608/0.1W","TopLayer","RES_1608_(0603_inch)","62.1200","15.2500","180","RES_1M/1608/0.1W"
"R313","12K/1608","TopLayer","RES_1608_(0603_inch)","39.6700","9.2500","180","RES_12K/1608/0.1W"
"R312","100K/1608","TopLayer","RES_1608_(0603_inch)","54.2500","12.3500","90","RES_100K/1608/0.1W"
