Altium Designer Pick and Place Locations
C:\Onedrive\04_Development\01_Project\Active\00_Auxiliary_Bd\Proj-Auxiliary_Boards\03_DC-DC_Converter_Bd_TYPE-A\Rev_A\02_HW\Power Module (Type-A)\Project Outputs for Power Module (Type-A)\Pick Place\Pick Place for Power_Module_(Type-A).txt

========================================================================================================================
File Design Information:

Date:       12-04-24
Time:       08:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment            Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                   
ZD300      SMAJ24A            TopLayer    DIO_DO-214AC_(SMA)              7.1000       17.0000      0        "Rectifier Diode"                                                                                             
U302       AMS1117-3.3        TopLayer    SOT_223-3_(DIODES_INCORPORATED) 46.7000      11.5000      0        "72dB@(120Hz) 1A 1.3V@(800mA) Fixed 3.3V~3.3V Positive 1 SOT-223  Linear Voltage Regulators (LDO) ROHS"       
U301       LTM8023EV#PBF      TopLayer    LGA-50_(LTM8023EV#PBF)          31.4650      9.8800       180      "2A, 36V DC/DC Buck Module Reg"                                                                               
U300       LTM8074IY#PBF      TopLayer    IC_BGA-25                       14.1500      8.4500       270      "1.2A, 40V DC/DC Buck Module Reg"                                                                             
TP301      TP_CIRCLE          TopLayer    TP_Circle                       23.5000      3.3500       90       ""                                                                                                            
TP300      TP_CIRCLE          TopLayer    TP_Circle                       17.3500      3.3500       90       ""                                                                                                            
SB301      SB                 BottomLayer SB_(Solder-Bridge)              23.4400      7.8600       0        SB_Solder-Bridge                                                                                              
SB300      SB                 BottomLayer SB_(Solder-Bridge)              10.1000      9.8500       180      SB_Solder-Bridge                                                                                              
R315       680R/2012          TopLayer    RES_2012_(0805_inch)            44.9000      19.2500      0        RES_680R/2012/0.125W                                                                                          
R314       93.1K/1608         TopLayer    RES_1608_(0603_inch)            26.2400      4.1100       0        RES_93.1K/1608/0.1W                                                                                           
R313       39.2K/1608         TopLayer    RES_1608_(0603_inch)            29.1400      4.1100       180      RES_39.2K/1608/0.1W                                                                                           
R312       100K/1608          TopLayer    RES_1608_(0603_inch)            23.5400      6.1100       180      RES_100K/1608/0.1W                                                                                            
R311       330R/2012          TopLayer    RES_2012_(0805_inch)            44.9000      21.5000      180      RES_330R/2012/0.125W                                                                                          
R310       15K/1608           TopLayer    RES_1608_(0603_inch)            23.5400      9.6100       180      RES_15K/1608/0.1W                                                                                             
R309       0R/3216            TopLayer    RES_3216_(1206_inch)            26.9500      18.5500      0        RES_0R/3216/0.25W                                                                                             
R308       0R/3216            TopLayer    RES_3216_(1206_inch)            5.7170       13.8500      0        RES_0R/3216/0.25W                                                                                             
R307       10K/1608           TopLayer    RES_1608_(0603_inch)            10.0000      9.8500       0        RES_10K/1608/0.1W                                                                                             
R306       18.2K/1608         TopLayer    RES_1608_(0603_inch)            17.1500      7.6680       90       RES_18.2K/1608/0.1W                                                                                           
